,open,high,low,close,adjclose,volume,ticker,adjclose_30,true_adjclose_30,buy_profit,sell_profit
1981-03-03,0.1177455335855484,0.1177455335855484,0.1171875,0.1171875,0.0922965258359909,16172800.0,AAPL,0.0010621031,1.0036019086837769,-0.09123442275449634,0.0
1981-03-12,0.1004464253783226,0.1010044664144516,0.1004464253783226,0.1004464253783226,0.07911132276058197,59248000.0,AAPL,0.038277335,1.062293291091919,-0.040833987295627594,0.0
1981-03-13,0.0998883917927742,0.0998883917927742,0.0993303582072258,0.0993303582072258,0.0782322809100151,231302400.0,AAPL,-0.34511048,0.23106718063354492,-0.4233427569270134,0.0
1981-03-23,0.1194196417927742,0.1205357164144516,0.1194196417927742,0.1194196417927742,0.09405458718538284,22019200.0,AAPL,1.7829745,2.6585049629211426,1.6889198943972588,0.0
1981-04-07,0.1155133917927742,0.1155133917927742,0.1149553582072258,0.1149553582072258,0.09053851664066315,10684800.0,AAPL,31.401659,29.75963020324707,31.311120495200157,0.0
1981-04-15,0.1188616082072258,0.1188616082072258,0.1183035746216774,0.1183035746216774,0.09317559003829956,34048000.0,AAPL,11.315541,10.726447105407715,11.22236567735672,0.0
1981-05-06,0.1227678582072258,0.1227678582072258,0.1222098246216774,0.1222098246216774,0.09625214338302612,18950400.0,AAPL,-0.19849713,0.28590717911720276,-0.29474927484989166,0.0
1981-05-29,0.1478794664144516,0.1484375,0.1478794664144516,0.1478794664144516,0.11646945029497147,59382400.0,AAPL,11.097537,10.432225227355957,10.981067590415478,0.0
1981-06-02,0.1411830335855484,0.1411830335855484,0.140625,0.140625,0.1107558161020279,40432000.0,AAPL,5.0176263,5.352132320404053,4.906870469450951,0.0
1981-06-05,0.1417410671710968,0.1417410671710968,0.1411830335855484,0.1411830335855484,0.11119537055492401,57680000.0,AAPL,12.961394,14.02177619934082,12.850198939442635,0.0
1981-06-15,0.1450892835855484,0.1450892835855484,0.14453125,0.14453125,0.11383240669965744,143763200.0,AAPL,25.423536,24.30046844482422,25.309703893959522,0.0
1981-07-21,0.1077008917927742,0.1077008917927742,0.1071428582072258,0.1071428582072258,0.08438539505004883,31942400.0,AAPL,-0.3470737,0.11295339465141296,-0.43145909905433655,0.0
1981-07-22,0.1021205335855484,0.1021205335855484,0.1010044664144516,0.1010044664144516,0.07955081760883331,22668800.0,AAPL,12.1662245,12.697606086730957,12.08667366206646,0.0
