,open,high,low,close,adjclose,volume,ticker,adjclose_30,true_adjclose_30,buy_profit,sell_profit
1997-07-29,2.3645832538604736,2.5,2.3333332538604736,2.4791667461395264,2.4791667461395264,4814400,AMZN,34.878006,43.41999816894531,32.398839235305786,0.0
1997-08-07,2.25,2.2604167461395264,2.125,2.1770832538604736,2.1770832538604736,2034000,AMZN,327.91055,334.3800048828125,325.73346972465515,0.0
1997-08-12,2.28125,2.3020832538604736,2.1979167461395264,2.1979167461395264,2.1979167461395264,571200,AMZN,550.3118,563.9099731445312,548.1139118671417,0.0
1997-08-13,2.2291667461395264,2.2291667461395264,2.1666667461395264,2.1979167461395264,2.1979167461395264,590400,AMZN,202.71365,184.32000732421875,200.5157368183136,0.0
1997-09-02,2.34375,2.375,2.3333332538604736,2.3541667461395264,2.3541667461395264,732000,AMZN,559.9501,611.010009765625,557.595906496048,0.0
1997-09-03,2.34375,2.4166667461395264,2.3125,2.3333332538604736,2.3333332538604736,1964400,AMZN,1974.5356,1785.0,1972.2023112773895,0.0
1997-09-10,3.3125,3.328125,3.125,3.3020832538604736,3.3020832538604736,3866400,AMZN,59.25042,65.875,55.948336362838745,0.0
1997-09-16,3.125,3.5416667461395264,3.1197917461395264,3.3541667461395264,3.3541667461395264,6432000,AMZN,1523.721,1603.0699462890625,1520.3667805194855,0.0
1997-09-23,4.489583492279053,4.645833492279053,4.395833492279053,4.625,4.625,7682400,AMZN,282.58554,256.0199890136719,277.9605407714844,0.0
1997-10-14,4.0625,4.104166507720947,3.8333332538604736,3.9791667461395264,3.9791667461395264,1546800,AMZN,48.20894,51.91999816894531,44.229771852493286,0.0
1997-11-03,5.21875,5.21875,4.947916507720947,5.072916507720947,5.072916507720947,1999200,AMZN,72.08529,78.0,67.0123724937439,0.0
1997-11-04,5.0,5.052083492279053,4.822916507720947,4.958333492279053,4.958333492279053,2365200,AMZN,179.68407,182.75,174.72573328018188,0.0
1997-12-04,4.401041507720947,4.552083492279053,4.385416507720947,4.5,4.5,3038400,AMZN,350.25598,327.5,345.7559814453125,0.0
1997-12-17,4.375,4.458333492279053,4.255208492279053,4.390625,4.390625,6140400,AMZN,12.6948805,18.90999984741211,8.304255485534668,0.0
1998-01-08,4.697916507720947,4.703125,4.53125,4.614583492279053,4.614583492279053,6015600,AMZN,89.43238,81.19000244140625,84.81779718399048,0.0
1998-01-21,4.9375,5.166666507720947,4.875,5.072916507720947,5.072916507720947,8738400,AMZN,8.728197,11.930000305175781,3.655280590057373,0.0
1998-01-22,5.072916507720947,5.270833492279053,5.020833492279053,5.135416507720947,5.135416507720947,9471600,AMZN,49.632294,33.6875,44.49687719345093,0.0
1998-01-23,5.34375,5.34375,4.9375,4.9375,4.9375,9118800,AMZN,74.29516,73.69000244140625,69.35765838623047,0.0
1998-01-27,4.817708492279053,4.864583492279053,4.666666507720947,4.75,4.75,4104000,AMZN,22.668879,10.875,17.91887855529785,0.0
1998-01-29,4.791666507720947,4.989583492279053,4.78125,4.958333492279053,4.958333492279053,4836000,AMZN,802.1241,759.219970703125,797.1657509803772,0.0
1998-02-02,4.947916507720947,5.208333492279053,4.9375,5.197916507720947,5.197916507720947,6913200,AMZN,102.520546,70.125,97.32262945175171,0.0
1998-02-03,5.1875,5.25,5.09375,5.151041507720947,5.151041507720947,4429200,AMZN,1491.4994,1431.4200439453125,1486.3483481407166,0.0
1998-02-06,4.927083492279053,5.020833492279053,4.875,4.90625,4.90625,2122800,AMZN,51.94387,42.7400016784668,47.037620544433594,0.0
